# time,x_position,y_position,z_position
0.00000000,100000.00000000,100000.00000000,10000.00000000
0.01000100,100960.40212187,100230.48719531,11014.22825678
0.02000200,101802.57616514,100704.97893090,12049.01611355
0.03000300,102474.13804437,101389.73059468,13090.35078468
0.04000400,102934.86423017,102242.34901400,14122.64227228
0.05000500,103158.36325869,103212.67191295,15129.47573387
0.06000600,103130.30646336,104248.78013201,16094.59846810
0.07000700,102845.21475309,105297.87959516,17001.53206192
0.08000800,102309.36474001,106308.67275033,17836.18432311
0.09000900,101541.14501738,107231.91609745,18587.19795309
0.10001000,100569.23303221,108022.63345520,19246.29492708
0.11001100,99426.24462163,108641.17501997,19807.15354094
0.12001200,98151.89757895,109051.40947778,20266.38848034
0.13001300,96793.17912995,109226.14373317,20625.92094337
0.14001400,95404.30844571,109147.23623786,20893.01293549
0.15001500,94043.64826237,108806.19878820,21079.62709575
0.16001600,92769.43995921,108203.82106693,21201.41450906
0.17001700,91641.25310352,107353.70756284,21279.82611734
0.18001800,90714.51907610,106285.99408756,21341.94742937
0.19001900,90037.47418785,105046.11089444,21419.07650036
0.20002000,89648.62275115,103692.56445263,21545.75365552
0.21002100,89568.82071902,102295.87777878,21756.81781237
0.22002200,89793.28079075,100936.72233660,22083.82697315
0.23002300,90292.45178113,99698.34621537,22551.93199693
0.24002400,91015.71288132,98657.96084534,23178.77204875
0.25002500,91893.88748004,97878.84092597,23969.81953345
0.26002600,92839.93753119,97400.64498673,24912.89624198
0.27002700,93756.41143399,97238.88386787,25980.50811235
0.28002800,94558.68975845,97386.66091268,27137.40076609
0.29002900,95170.79437477,97816.94200327,28339.64691391
0.30003000,95535.69587241,98480.17350948,29537.90939003
0.31003100,95617.03212596,99311.22432245,30681.52357712
0.32003200,95397.23409388,100243.37957253,31723.98508765
0.33003300,94877.52131865,101205.23461253,32623.82596102
0.34003400,94080.63013652,102124.39763326,33348.74638653
0.35003500,93045.40800129,102933.32286731,33876.32659144
0.36003600,91820.92802080,103569.12012125,34191.43890658
0.37003700,90468.93918694,103978.30917953,34292.01347065
0.38003800,89063.58048818,104119.70371904,34190.88621533
0.39003900,87684.47335446,103966.73612615,33913.28315310
0.40004000,86414.25254862,103506.18159921,33494.80688795
0.41004100,85333.56233707,102747.37747756,32984.93160258
0.42004200,84516.12526915,101725.60609394,32446.37992929
0.43004300,84021.03886801,100498.49665688,31948.07471910
0.44004400,83889.09701459,99144.51195248,31562.51896990
0.45004500,84124.01694063,97762.76254678,31355.72838154
0.46004600,84691.20667966,96466.83017063,31382.27067310
0.47004700,85524.36654525,95363.55150691,31675.78783095
0.48004800,86528.73425480,94544.14447714,32245.00559788
0.49004900,87583.89656161,94068.14928335,33062.94077087
0.50005001,88566.26927281,93960.12459927,34076.40508627
0.51005101,89366.48407983,94212.62504987,35215.86299106
0.52005201,89898.69702807,94783.00339969,36398.96439944
0.53005301,90107.89292666,95597.84750585,37537.77032538
0.54005401,89968.93505852,96574.83440201,38552.39830412
0.55005501,89486.06475634,97622.46723688,39373.74334139
0.56005601,88695.38443384,98645.62858323,39950.48535243
0.57005701,87652.87945650,99555.43012133,40248.40758764
0.58005801,86431.26028361,100270.67894008,40251.27564659
0.59005901,85120.35306083,100725.41938841,39968.26765365
0.60006001,83819.30742944,100873.10976209,39431.32991483
0.61006101,82630.68228975,100684.06321184,38688.43554298
0.62006201,81653.03886319,100158.17276418,37808.49022283
0.63006301,80974.42249215,99331.00369896,36881.37160273
0.64006401,80660.93239588,98267.78253912,36003.65741704
0.65006501,80753.04900563,97060.30110844,35273.40769462
0.66006601,81243.00222447,95826.31985375,34776.09169665
0.67006701,82074.86012561,94699.34994620,34576.31423200
0.68006801,83157.99163498,93800.41440339,34705.62469382
0.69006901,84371.39812829,93225.46407807,35157.81358850
0.70007001,85572.97970172,93028.85314012,35881.39977207
0.71007101,86632.24335266,93223.58511775,36799.49460730
0.72007201,87440.81510753,93783.90766257,37818.40200575
0.73007301,87925.85671735,94642.88429439,38835.03389416
0.74007401,88050.72867447,95713.93305717,39752.74953127
